               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091634,            0.021928,                   0,             0.69451,             0.40259,             0.67509,             0.24446,            0.056732,            0.015765,                   0,           0.0032667,           0.0032667,              0.0706
                   1,            0.062864,            0.017179,                   0,             0.44711,             0.39062,             0.48971,             0.20734,            0.051948,            0.012939,                   0,           0.0062733,           0.0062733,            0.040273
                   2,            0.050828,            0.014843,                   0,             0.87817,             0.85417,             0.87997,              0.3323,            0.051622,            0.009222,                   0,           0.0089499,           0.0089499,           0.0096166
                   3,            0.042306,            0.010287,                   0,             0.96444,             0.98438,             0.98338,             0.34546,            0.045214,           0.0074393,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.037077,            0.008397,                   0,             0.99405,             0.99479,             0.99495,             0.60761,            0.029523,           0.0060354,                   0,            0.008515,            0.008515,            0.008515
                   5,             0.03243,           0.0075754,                   0,             0.99611,             0.99219,               0.995,              0.6415,            0.025363,           0.0050697,                   0,             0.00802,             0.00802,             0.00802
                   6,              0.0298,           0.0067592,                   0,             0.99788,             0.99479,               0.995,             0.68005,             0.02363,           0.0047266,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.027771,           0.0064255,                   0,             0.99558,              0.9974,               0.995,             0.63763,            0.025896,           0.0046392,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.026332,           0.0062478,                   0,             0.99936,              0.9974,               0.995,             0.66919,            0.024382,           0.0043713,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.025144,            0.005924,                   0,                   1,             0.99939,               0.995,              0.6475,            0.025416,           0.0043443,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.024327,           0.0060282,                   0,                   1,              0.9997,               0.995,             0.70428,            0.021476,           0.0041751,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.023856,           0.0057084,                   0,             0.99978,                   1,               0.995,             0.69478,            0.021746,           0.0042071,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.023311,           0.0058432,                   0,             0.99972,                   1,               0.995,             0.71421,             0.02049,           0.0040531,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.022677,           0.0055056,                   0,             0.99967,                   1,               0.995,             0.69882,            0.021268,           0.0041133,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.021876,           0.0053915,                   0,             0.99941,                   1,               0.995,             0.70265,            0.021102,           0.0040575,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.021687,           0.0055157,                   0,             0.99979,                   1,               0.995,             0.71278,            0.020685,           0.0039864,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.021686,           0.0054693,                   0,             0.99989,                   1,               0.995,             0.71272,            0.020446,            0.003999,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.021366,           0.0053639,                   0,             0.99987,                   1,               0.995,             0.71372,            0.020406,           0.0039641,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.021266,           0.0054111,                   0,             0.99977,                   1,               0.995,              0.7167,             0.02027,           0.0039675,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.020627,           0.0053697,                   0,             0.99975,                   1,               0.995,             0.70636,             0.02057,           0.0039246,                   0,             0.00109,             0.00109,             0.00109
